strategy,fgi_col,entry,exit,fast,slow,is_total_return,is_cagr,is_sharpe,is_max_dd,is_calmar,is_transactions,oos_total_return,oos_cagr,oos_sharpe,oos_max_dd,oos_calmar,oos_transactions
trend_combined,FGI_OLS,52.0,11.0,,,124.02545937053016,4.59021220214364,0.3247959323657575,-48.25759236884098,0.095118964225564,65,115.95385530273741,7.847758306141883,0.5103577802228648,-30.17527702728755,0.2600724526586829,27
trend_combined,FGI_Equal,58.0,8.0,,,114.38062948317432,4.334426810368752,0.3125485630624325,-41.05295879531864,0.1055813499820874,65,119.67267165410176,8.028605376608965,0.5196078485147302,-30.6212928599026,0.26219028090489654,27
trend_combined,FGI_Equal,59.0,8.0,,,113.81534965366448,4.319100235669682,0.3118185031263855,-41.05295879531864,0.1052080133177197,65,116.41857556742909,7.870510654576224,0.5114562952237656,-30.6212928599026,0.2570273793005766,27
trend_combined,FGI_Equal,59.0,7.0,,,111.83395411758998,4.265074342520503,0.3092169412827518,-47.69185556193371,0.0894298259580565,61,118.78688387406457,7.985781209205056,0.5174257505987296,-30.62129285990264,0.2607917714559374,27
ma_long,FGI_OLS,,,10.0,31.0,72.80598536974378,3.0903723766362523,0.3050500771155108,-28.940765654992244,0.1067826751191417,170,61.72918500754352,4.83072301268066,0.4999838531310534,-27.309010625892295,0.17689117628086246,104
ma_long,FGI_OLS,,,10.0,30.0,69.3689116238896,2.97519719096464,0.2954143464934188,-34.62187958001831,0.0859340170740397,172,65.11829500171606,5.044284129935894,0.5183264344785472,-27.84651237192209,0.1811459928110098,106
ma_long,FGI_OLS,,,9.0,32.0,67.13190648741774,2.8990441120712696,0.2899452839322584,-34.042710084995505,0.0851590283156991,172,50.36456699297318,4.083871462371369,0.45083363833558626,-29.281762710445886,0.1394680881323617,104
ma_long,FGI_Equal,,,10.0,30.0,64.83202543799074,2.819740389900049,0.2821949945915992,-35.14998282885091,0.0802202494274228,188,77.76148247642934,5.807579663334983,0.5981090980514767,-22.112583422829392,0.26263686844202666,114
ma_long,FGI_Equal,,,8.0,29.0,62.52602585922964,2.739169551215448,0.2772723066836476,-35.23177069329616,0.0777471440496362,202,65.08230380621727,5.042037033476965,0.530860102021626,-23.405517463269902,0.21542087421862793,124
ma_long,FGI_Equal,,,8.0,30.0,60.38884282157127,2.6635273150446226,0.2696950309362762,-36.04989235362757,0.0738844734657467,206,60.89751931294638,4.777700087819636,0.506363562916829,-21.825303877498126,0.2189064635542345,120
